,drug_1,drug_2,context,label
0,3385,11960529,A2058,1
1,3385,24856436,A2058,1
2,3385,11977753,A2058,1
3,3385,387447,A2058,0
4,3385,3062316,A2058,1
5,3385,46926350,A2058,1
6,3385,176870,A2058,1
7,3385,5288382,A2058,1
8,3385,216453,A2058,1
9,3385,208908,A2058,1
10,3385,24964624,A2058,1
11,3385,24958200,A2058,1
12,3385,24748204,A2058,1
13,3385,11520894,A2058,1
14,3385,46239015,A2058,1
15,3385,9826528,A2058,1
16,3385,216239,A2058,1
17,3385,5329102,A2058,1
18,3385,5394,A2058,1
19,3385,5311,A2058,1
20,11960529,216239,A2058,1
21,24856436,11977753,A2058,1
22,24856436,3062316,A2058,1
23,24856436,46926350,A2058,1
24,24856436,176870,A2058,1
25,24856436,5288382,A2058,1
26,24856436,208908,A2058,1
27,24856436,24964624,A2058,1
28,24856436,24958200,A2058,1
29,24856436,11520894,A2058,1
30,24856436,46239015,A2058,1
31,24856436,9826528,A2058,1
32,24856436,104842,A2058,1
33,24856436,216239,A2058,1
34,24856436,60700,A2058,1
35,11977753,46926350,A2058,1
36,11977753,46239015,A2058,1
37,11977753,498162,A2058,1
38,11977753,216239,A2058,1
39,387447,11960529,A2058,1
40,387447,11977753,A2058,1
41,387447,3062316,A2058,1
42,387447,3062316,A2058,0
43,387447,46239015,A2058,1
44,387447,104842,A2058,1
45,387447,216239,A2058,1
46,2567,11960529,A2058,1
47,2567,24856436,A2058,1
48,2567,11977753,A2058,1
49,2567,387447,A2058,1
50,2567,3062316,A2058,1
51,2567,46926350,A2058,1
52,2567,176870,A2058,1
53,2567,5288382,A2058,1
54,2567,216453,A2058,1
55,2567,208908,A2058,1
56,2567,208908,A2058,0
57,2567,24964624,A2058,1
58,2567,24958200,A2058,1
59,2567,24748204,A2058,1
60,2567,11520894,A2058,1
61,2567,46239015,A2058,1
62,2567,9826528,A2058,0
63,2567,9826528,A2058,1
64,2567,216239,A2058,0
65,2567,5329102,A2058,1
66,2567,5394,A2058,0
67,2567,5311,A2058,1
68,2907,11960529,A2058,1
69,2907,5394,A2058,1
70,3062316,11960529,A2058,0
71,3062316,11977753,A2058,1
72,3062316,46926350,A2058,1
73,3062316,5288382,A2058,0
74,3062316,11520894,A2058,1
75,3062316,46239015,A2058,1
76,3062316,498162,A2058,1
77,3062316,104842,A2058,1
78,3062316,216239,A2058,1
79,3062316,60700,A2058,1
80,5743,176870,A2058,0
81,5743,46239015,A2058,0
82,5743,216239,A2058,1
83,5743,5394,A2058,0
84,31703,11960529,A2058,0
85,31703,24856436,A2058,1
86,31703,387447,A2058,1
87,31703,387447,A2058,0
88,31703,46926350,A2058,1
89,31703,176870,A2058,0
90,31703,176870,A2058,1
91,31703,5288382,A2058,1
92,31703,208908,A2058,1
93,31703,24964624,A2058,0
94,31703,24958200,A2058,0
95,31703,24748204,A2058,0
96,31703,11520894,A2058,0
97,31703,46239015,A2058,0
98,31703,9826528,A2058,1
99,31703,216239,A2058,0
100,31703,5329102,A2058,0
101,31703,5394,A2058,0
102,31703,5311,A2058,1
103,176870,11977753,A2058,1
104,176870,387447,A2058,0
105,176870,3062316,A2058,1
106,176870,46926350,A2058,1
107,176870,5288382,A2058,1
108,176870,11520894,A2058,1
109,176870,46239015,A2058,1
110,176870,498162,A2058,0
111,176870,9826528,A2058,1
112,176870,104842,A2058,1
113,176870,216239,A2058,1
114,176870,60700,A2058,1
115,36462,24856436,A2058,1
116,36462,11977753,A2058,1
117,36462,387447,A2058,1
118,36462,3062316,A2058,0
119,36462,46926350,A2058,1
120,36462,176870,A2058,1
121,36462,5288382,A2058,1
122,36462,208908,A2058,1
123,36462,24964624,A2058,1
124,36462,24958200,A2058,1
125,36462,11520894,A2058,1
126,36462,11520894,A2058,0
127,36462,46239015,A2058,1
128,36462,9826528,A2058,1
129,36462,5329102,A2058,1
130,36462,5394,A2058,1
131,36462,5311,A2058,1
132,5288382,11977753,A2058,1
133,5288382,46926350,A2058,1
134,5288382,46239015,A2058,1
135,5288382,498162,A2058,1
136,5288382,104842,A2058,1
137,5288382,216239,A2058,1
138,5288382,60700,A2058,1
139,60749,24856436,A2058,1
140,60749,11977753,A2058,1
141,60749,387447,A2058,1
142,60749,46926350,A2058,1
143,60749,176870,A2058,1
144,60749,5288382,A2058,1
145,60749,208908,A2058,1
146,60749,24964624,A2058,1
147,60749,24748204,A2058,1
148,60749,11520894,A2058,1
149,60749,46239015,A2058,1
150,60749,9826528,A2058,1
151,60749,216239,A2058,1
152,60749,216239,A2058,0
153,60749,5329102,A2058,1
154,60749,5394,A2058,1
155,216453,24856436,A2058,1
156,216453,11977753,A2058,1
157,216453,387447,A2058,1
158,216453,3062316,A2058,1
159,216453,46926350,A2058,1
160,216453,176870,A2058,1
161,216453,36462,A2058,1
162,216453,5288382,A2058,1
163,216453,60749,A2058,1
164,216453,208908,A2058,1
165,216453,24964624,A2058,1
166,216453,24958200,A2058,1
167,216453,24748204,A2058,1
168,216453,11520894,A2058,1
169,216453,46239015,A2058,1
170,216453,498162,A2058,1
171,216453,9826528,A2058,1
172,216453,104842,A2058,1
173,216453,216239,A2058,1
174,216453,5329102,A2058,1
175,216453,5394,A2058,1
176,216453,60700,A2058,1
177,216453,5311497,A2058,1
178,216453,5311,A2058,1
179,208908,11977753,A2058,1
180,208908,387447,A2058,1
181,208908,3062316,A2058,1
182,208908,46926350,A2058,1
183,208908,176870,A2058,1
184,208908,5288382,A2058,1
185,208908,24964624,A2058,1
186,208908,24958200,A2058,1
187,208908,24748204,A2058,1
188,208908,11520894,A2058,1
189,208908,46239015,A2058,1
190,208908,498162,A2058,1
191,208908,498162,A2058,0
192,208908,9826528,A2058,1
193,208908,104842,A2058,1
194,208908,216239,A2058,1
195,208908,60700,A2058,1
196,4091,11960529,A2058,1
197,4091,387447,A2058,0
198,4091,387447,A2058,1
